"JURISDICTION","AGE_GROUP","Sum(FINES)"
"ACT","0-16",17
"ACT","17-25",3737
"ACT","26-39",10973
"ACT","40-64",10666
"ACT","65 and over",1246
"ACT","All ages",20353
"NSW","0-16",40
"NSW","17-25",9468
"NSW","26-39",10358
"NSW","40-64",7344
"NSW","65 and over",800
"NSW","All ages",1005780
"NT","0-16",1
"NT","17-25",86
"NT","26-39",202
"NT","40-64",142
"NT","65 and over",18
"NT","All ages",9986
"QLD","0-16",2104
"QLD","17-25",10451
"QLD","26-39",29198
"QLD","40-64",29490
"QLD","65 and over",3789
"QLD","All ages",431588
"SA","0-16",5
"SA","17-25",2526
"SA","26-39",4050
"SA","40-64",3288
"SA","65 and over",501
"SA","All ages",155784
"TAS","0-16",0
"TAS","17-25",933
"TAS","26-39",2137
"TAS","40-64",1862
"TAS","65 and over",311
"TAS","All ages",48170
"VIC","0-16",13
"VIC","17-25",9132
"VIC","26-39",30262
"VIC","40-64",31291
"VIC","65 and over",4540
"VIC","All ages",581784
"WA","0-16",1
"WA","17-25",1510
"WA","26-39",3167
"WA","40-64",2365
"WA","65 and over",280
"WA","All ages",196714
